match_id,home,away,hg,ag,winner_team
# Real 2026 FIFA World Cup knockout results (source: Wikipedia / FIFA match centre), as of 2026-07-05.
# Applied to the live DB as official results by: python maintenance.py seed-knockout-results
# home/away must match the app's OWN bracket resolution for that match_id (winners/runners/best-3rd,
# computed from current_results.csv + current_standings.csv) — the seeder checks this and skips any
# row that no longer matches instead of silently mis-seeding a slot. winner_team is the SHOOTOUT
# winner: fill it ONLY when hg==ag (extra time ended level); leave it blank on decisive scores or
# the app renders a penalties marker on a match that never had one.
# Round of 32 (all 16 complete) ------------------------------------------------------------------
73,South Africa,Canada,0,1,
74,Brazil,Japan,2,1,
75,Germany,Paraguay,1,1,Paraguay
76,Netherlands,Morocco,1,1,Morocco
77,Côte d'Ivoire,Norway,1,2,
78,France,Sweden,3,0,
79,Mexico,Ecuador,2,0,
80,England,DR Congo,2,1,
81,Belgium,Senegal,3,2,
82,USA,Bosnia and Herzegovina,2,0,
83,Portugal,Croatia,2,1,
84,Spain,Austria,3,0,
85,Switzerland,Algeria,2,0,
86,Australia,Egypt,1,1,Egypt
87,Argentina,Cabo Verde,3,2,
88,Colombia,Ghana,1,0,
# Round of 16 (played 2026-07-04) ----------------------------------------------------------------
89,Canada,Morocco,0,3,
90,Paraguay,France,0,1,
